data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia
05/10/2023,40.2,22.1,79.8,0.5,1
09/10/2023,86.6,20.5,82.0,1.6,1
26/10/2023,85.22,21.87,77.92,2.23,1
30/10/2023,32.8,25.5,71.0,1.3,1
18/11/2023,45.17,21.35,75.35,0.26,1
07/12/2023,39.28,25.99,70.61,0.95,1
11/01/2024,59.5,25.6,80.3,1.3,1
18/01/2024,74.73,24.81,82.01,1.52,1
18/01/2024,72.4,24.2,83.7,1.6,1
04/02/2024,66.96,24.09,84.57,1.41,1
14/02/2024,89.6,22.5,86.8,1.6,1
20/02/2024,93.1,22.8,88.5,1.4,1
27/02/2024,94.21,19.92,90.43,1.46,1
03/03/2024,0.0,26.1,67.9,1.1,0
04/03/2024,0.0,27.4,62.3,1.3,0
05/03/2024,0.0,28.2,60.8,1.5,0
06/03/2024,1.2,28.0,59.4,1.7,0
07/03/2024,5.4,26.7,66.1,1.4,0
09/03/2024,0.0,31.89,61.09,0.88,0
10/03/2024,49.6,22.3,86.8,1.1,1
12/03/2024,0.0,25.5,69.8,1.4,0
13/03/2024,0.0,27.15,67.89,0.42,0
13/03/2024,0.0,24.8,78.0,0.8,0
14/03/2024,0.0,27.3,65.5,0.5,0
15/03/2024,0.0,28.2,59.8,1.1,0
16/03/2024,0.0,28.9,60.0,1.6,0
17/03/2024,0.0,28.0,66.8,1.4,0
18/03/2024,63.5,23.4,79.5,1.7,1
19/03/2024,67.0,25.3,83.8,1.1,1
20/03/2024,71.0,21.7,85.3,1.3,1
22/03/2024,0.0,25.2,71.8,1.4,0
24/03/2024,0.0,26.9,63.5,1.7,0
25/03/2024,0.0,28.41,58.68,1.09,0
25/03/2024,0.0,27.1,64.2,1.3,0
26/03/2024,0.0,24.95,82.14,0.34,0
27/03/2024,10.8,25.6,76.4,1.1,1
28/03/2024,6.0,20.1,93.5,0.8,0
28/03/2024,0.0,26.06,63.48,1.43,0
29/03/2024,13.5,22.5,83.8,0.8,0
31/03/2024,15.92,22.89,78.45,0.08,0
31/03/2024,0.0,23.75,75.22,1.69,0
31/03/2024,87.26,23.27,88.18,1.99,1
02/04/2024,0.0,25.3,73.6,1.4,0
04/04/2024,0.0,29.2,66.77,1.01,0
06/04/2024,0.0,24.3,72.4,1.2,0
07/04/2024,1.6,22.9,80.1,1.8,0
08/04/2024,4.8,21.7,83.9,1.3,1
10/04/2024,68.12,22.25,89.6,1.02,1
10/04/2024,3.31,21.41,85.78,2.25,0
11/04/2024,0.0,27.71,53.69,2.77,0
15/04/2024,62.37,23.1,86.93,0.48,1
18/04/2024,3.76,27.49,63.07,2.09,0
19/04/2024,5.4,21.1,77.3,1.7,0
20/04/2024,2.09,25.54,66.08,1.45,0
21/04/2024,1.97,26.18,92.86,1.58,0
22/04/2024,0.0,23.5,78.98,1.52,1
23/04/2024,15.79,28.75,65.57,0.47,0
23/04/2024,0.0,24.4,67.3,1.2,0
26/04/2024,7.67,27.15,67.07,0.0,0
28/04/2024,2.1,23.7,74.8,1.6,0
30/04/2024,0.0,26.39,67.11,1.3,0
01/05/2024,52.92,25.11,84.77,1.84,1
02/05/2024,2.39,21.25,80.56,2.11,0
02/05/2024,0.0,22.5,70.1,1.5,0
05/05/2024,0.0,21.2,68.4,1.3,0
06/05/2024,5.43,27.41,80.4,1.27,0
07/05/2024,0.0,19.9,71.3,1.2,0
10/05/2024,8.2,17.7,83.2,1.4,1
11/05/2024,0.0,18.4,76.4,1.5,0
13/05/2024,79.23,22.83,78.41,0.99,1
15/05/2024,0.0,20.8,72.1,1.2,0
15/05/2024,7.38,27.59,75.25,0.85,0
16/05/2024,0.0,21.4,68.9,1.1,0
17/05/2024,0.0,20.92,72.33,0.8,0
18/05/2024,0.0,16.32,83.61,1.39,1
23/05/2024,3.64,20.85,88.67,1.45,1
23/05/2024,0.0,21.3,68.1,1.6,0
25/05/2024,1.34,20.54,89.21,1.62,0
25/05/2024,10.57,19.61,67.22,1.67,0
26/05/2024,11.6,15.6,90.8,1.6,0
26/05/2024,6.12,22.52,60.04,1.87,0
26/05/2024,0.0,21.37,78.59,1.19,0
27/05/2024,42.5,17.1,94.3,0.5,0
28/05/2024,6.3,18.8,81.3,1.3,0
29/05/2024,4.7,19.3,79.6,1.5,0
30/05/2024,0.0,20.1,72.8,1.6,0
31/05/2024,0.0,15.61,93.21,1.38,0
01/06/2024,0.0,16.7,78.3,1.2,0
03/06/2024,0.0,18.5,72.4,1.1,0
04/06/2024,3.44,20.61,68.87,1.51,0
05/06/2024,4.3,16.9,80.1,1.4,0
06/06/2024,11.0,16.5,84.2,1.2,1
07/06/2024,0.0,17.4,78.6,1.5,0
08/06/2024,0.0,18.2,76.5,1.2,0
09/06/2024,0.0,18.5,74.7,1.1,0
10/06/2024,16.61,16.95,78.94,1.2,0
11/06/2024,2.7,17.1,79.8,1.4,0
12/06/2024,0.0,23.64,65.72,1.51,0
12/06/2024,5.6,15.9,83.2,1.3,1
14/06/2024,0.0,16.4,77.9,1.5,0
15/06/2024,0.0,17.3,74.1,1.4,0
15/06/2024,0.0,19.28,71.44,1.26,0
16/06/2024,0.0,17.8,72.3,1.2,0
19/06/2024,16.5,15.1,90.4,1.0,1
20/06/2024,0.0,16.9,79.7,1.3,0
21/06/2024,0.0,17.6,75.5,1.4,0
21/06/2024,3.24,20.72,87.97,1.56,0
22/06/2024,0.0,18.2,70.3,1.3,0
23/06/2024,0.0,19.63,62.76,1.84,0
23/06/2024,0.0,19.4,68.8,1.4,0
24/06/2024,0.0,19.9,65.5,1.1,0
25/06/2024,25.25,16.75,93.18,0.57,0
25/06/2024,0.0,20.5,63.1,1.3,0
26/06/2024,6.2,18.2,78.5,1.5,0
26/06/2024,14.01,19.64,85.04,1.39,0
27/06/2024,9.6,17.8,82.9,1.2,1
28/06/2024,3.31,18.78,68.82,1.51,0
28/06/2024,0.0,18.5,77.6,1.1,0
29/06/2024,0.0,22.6,66.24,1.22,0
29/06/2024,0.0,19.3,74.2,1.4,0
30/06/2024,2.5,18.1,79.7,1.3,0
01/07/2024,0.0,17.3,76.5,1.2,0
02/07/2024,0.0,17.6,72.8,1.1,0
03/07/2024,0.0,18.1,70.4,1.3,0
04/07/2024,0.0,18.7,68.9,1.2,0
05/07/2024,0.0,20.88,59.5,1.41,0
07/07/2024,15.38,20.4,74.93,1.98,0
09/07/2024,6.21,17.67,80.55,1.21,1
09/07/2024,25.8,14.4,96.8,0.3,0
