Data(Dias),Planta,Classificação,Capacidade(kW),Geração(kWh),Renda(EUR)
01.08.2025,Grid-Tied PV Inverter,Residential,3,10.4,32.760
02.08.2025,Grid-Tied PV Inverter,Residential,3,9.4,29.610
03.08.2025,Grid-Tied PV Inverter,Residential,3,11.3,35.595
04.08.2025,Grid-Tied PV Inverter,Residential,3,7.9,24.885
05.08.2025,Grid-Tied PV Inverter,Residential,3,11.1,34.965
06.08.2025,Grid-Tied PV Inverter,Residential,3,14.8,46.620
07.08.2025,Grid-Tied PV Inverter,Residential,3,13.7,43.155
08.08.2025,Grid-Tied PV Inverter,Residential,3,15.6,49.140
09.08.2025,Grid-Tied PV Inverter,Residential,3,15.6,49.140
10.08.2025,Grid-Tied PV Inverter,Residential,3,16.9,53.235
11.08.2025,Grid-Tied PV Inverter,Residential,3,17.1,53.865
12.08.2025,Grid-Tied PV Inverter,Residential,3,14.8,46.620
13.08.2025,Grid-Tied PV Inverter,Residential,3,13.8,43.470
14.08.2025,Grid-Tied PV Inverter,Residential,3,16.1,50.715
15.08.2025,Grid-Tied PV Inverter,Residential,3,15.8,49.770
16.08.2025,Grid-Tied PV Inverter,Residential,3,10.6,33.390
17.08.2025,Grid-Tied PV Inverter,Residential,3,6.9,21.735
18.08.2025,Grid-Tied PV Inverter,Residential,3,12.6,39.690
19.08.2025,Grid-Tied PV Inverter,Residential,3,16.9,53.235
20.08.2025,Grid-Tied PV Inverter,Residential,3,12.7,40.005
21.08.2025,Grid-Tied PV Inverter,Residential,3,10.6,33.390
22.08.2025,Grid-Tied PV Inverter,Residential,3,7.3,22.995
23.08.2025,Grid-Tied PV Inverter,Residential,3,11.4,35.910
24.08.2025,Grid-Tied PV Inverter,Residential,3,13.2,41.580
25.08.2025,Grid-Tied PV Inverter,Residential,3,13.1,41.265
26.08.2025,Grid-Tied PV Inverter,Residential,3,10.7,33.705
27.08.2025,Grid-Tied PV Inverter,Residential,3,12.7,40.005
28.08.2025,Grid-Tied PV Inverter,Residential,3,8.3,26.145
29.08.2025,Grid-Tied PV Inverter,Residential,3,10.3,32.445
30.08.2025,Grid-Tied PV Inverter,Residential,3,12.4,39.060
31.08.2025,Grid-Tied PV Inverter,Residential,3,8.3,26.145
TOTAL,, ,--,382.3,1.204.245
