data,precipitacao_total_mm,temperatura_media_c,umidade_relativa_%,vento_m_s,queda_de_energia,ESTADO,ESTACAO
2023-01-02,0.00,26.22,72.88,1.17,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-01-02,7.60,18.61,83.42,4.85,0,MG,BELO HORIZONTE - CERCADINHO
2023-01-04,0.00,27.56,66.71,2.29,1,ES,VITORIA
2023-01-05,0.20,26.94,72.54,2.05,1,ES,VITORIA
2023-01-12,0.00,27.21,77.08,0.78,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-01-12,17.40,19.43,79.25,3.24,0,MG,BELO HORIZONTE - CERCADINHO
2023-01-13,0.00,27.27,75.25,1.10,0,BA,SALVADOR
2023-01-13,2.80,27.01,76.25,1.55,0,SC,FLORIANOPOLIS
2023-01-13,15.60,19.49,86.00,1.27,0,DF,BRASILIA
2023-01-13,0.20,27.41,64.29,,0,MT,CUIABA
2023-01-13,0.00,27.11,72.29,2.10,0,ES,VITORIA
2023-01-13,5.60,22.66,80.75,0.78,0,GO,GOIANIA
2023-01-14,8.20,26.11,74.54,2.16,1,SC,FLORIANOPOLIS
2023-01-16,0.00,22.31,63.67,5.41,0,MG,BELO HORIZONTE - CERCADINHO
2023-01-16,0.00,29.01,75.58,0.96,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-01-18,1.40,27.05,76.38,1.10,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-01-18,0.00,21.77,66.50,5.45,0,MG,BELO HORIZONTE - CERCADINHO
2023-01-24,0.00,27.37,76.29,1.19,1,BA,SALVADOR
2023-01-25,12.20,20.22,82.58,3.20,0,MG,BELO HORIZONTE - CERCADINHO
2023-01-25,0.20,25.96,81.08,1.21,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-01-28,20.00,23.13,76.88,0.66,0,GO,GOIANIA
2023-01-28,1.40,25.75,73.53,,0,MT,CUIABA
2023-01-28,0.40,27.70,74.54,1.81,0,ES,VITORIA
2023-01-28,0.00,27.10,65.25,2.19,0,SC,FLORIANOPOLIS
2023-01-28,0.00,28.00,74.75,1.35,0,BA,SALVADOR
2023-01-28,3.00,21.12,78.25,1.68,0,DF,BRASILIA
2023-02-03,15.40,24.69,74.12,0.79,0,GO,GOIANIA
2023-02-03,0.20,21.70,75.00,1.83,0,DF,BRASILIA
2023-02-03,120.60,25.10,84.96,1.57,0,SC,FLORIANOPOLIS
2023-02-03,0.00,27.88,64.17,2.06,0,ES,VITORIA
2023-02-03,14.60,28.05,68.10,,0,MT,CUIABA
2023-02-03,19.60,25.94,84.00,0.88,0,BA,SALVADOR
2023-02-04,0.00,25.15,70.58,0.72,0,GO,GOIANIA
2023-02-04,0.00,28.24,64.58,2.14,0,ES,VITORIA
2023-02-04,0.00,21.88,74.96,1.75,0,DF,BRASILIA
2023-02-04,0.00,27.70,75.46,1.35,0,BA,SALVADOR
2023-02-04,0.00,26.79,71.45,,0,MT,CUIABA
2023-02-04,0.00,29.57,71.54,1.54,0,RJ,RIO DE JANEIRO - VILA MILITAR
2023-02-04,16.20,25.25,79.62,1.60,0,SC,FLORIANOPOLIS
2023-02-04,0.00,24.02,56.83,2.70,0,MG,BELO HORIZONTE - CERCADINHO
2023-02-05,0.00,29.12,66.79,1.82,0,ES,VITORIA
2023-02-05,0.00,28.23,63.22,,0,MT,CUIABA
2023-02-05,0.00,27.67,75.83,1.15,0,BA,SALVADOR
2023-02-05,12.40,21.77,79.83,1.40,0,DF,BRASILIA
2023-02-05,1.40,25.94,72.58,1.59,0,SC,FLORIANOPOLIS
2023-02-05,0.00,24.38,71.54,0.68,0,GO,GOIANIA
2023-02-07,0.00,25.96,63.29,1.25,0,SC,FLORIANOPOLIS
2023-02-07,0.00,27.81,69.96,1.41,0,BA,SALVADOR
2023-02-07,0.00,27.84,72.50,1.52,0,ES,VITORIA
